id,source,query,title,year,venue,doi,url,authors,abstract
10.1163/1568,crossref,contact sequence learning robotics,Distinguishability and identifiability testing of contact state models,2005,Advanced Robotics,10.1163/156855305323383794,https://doi.org/10.1163/156855305323383794,"Debus, Thomas J.; Dupont, Pierre E.; Howe, Robert D.",
10.1109/robo,crossref,contact sequence learning robotics,Interpretation of contact geometries from force measurements,2005,Proceedings. 1984 IEEE International Conference on Robotics and Automation,10.1109/robot.1984.1087180,https://doi.org/10.1109/robot.1984.1087180,"Salisbury, J.",
10.1163/1568,crossref,contact sequence learning robotics,Power assist method based on Phase Sequence and muscle force condition for HAL,2005,Advanced Robotics,10.1163/1568553054455103,https://doi.org/10.1163/1568553054455103,"Kawamoto, Hiroaki; Sankai, Yoshiyuki",
10.1163/1568,crossref,contact sequence learning robotics,Predicting planar motion behavior under contact uncertainty,2005,Advanced Robotics,10.1163/156855305323383802,https://doi.org/10.1163/156855305323383802,"Rosell, Jan; Basañez, Luis; Suárez, Raúl",
10.1115/detc,crossref,contact sequence learning robotics,A Contact Force Solution for Non-Colliding Contact Dynamics Simulation,2006,"Volume 2: 30th Annual Mechanisms and Robotics Conference, Parts A and B",10.1115/detc2006-99139,https://doi.org/10.1115/detc2006-99139,"Sharf, Inna; Zhang, Yuning","Rigid-body impact modeling remains an intensive area of research spurred on by new applications in robotics, biomechanics, and more generally multibody systems. By contrast, the modeling of non-colliding contact dynamics has attracted significantly less attention. The existing approaches to solve non-colliding contact problems include compliant approaches in which the contact force between objects is defined explicitly as a function of local deformation, and complementarity formulations in which unilateral constraints are employed to compute contact interactions (impulses or forces) to enforce the impenetrability of the contacting objects. In this article, the authors develop a novel approach to solve the non-colliding contact problem for objects of arbitrary geometry in contact at multipl"
10.15607/rss,crossref,contact sequence learning robotics,Generation of Point-contact State Space between Strictly Curved Objects,2006,Robotics: Science and Systems II,10.15607/rss.2006.ii.031,https://doi.org/10.15607/rss.2006.ii.031,"Tang, P.; Xiao, J.",
10.1007/1155,crossref,contact sequence learning robotics,On Contact Transition for Nonholonomic Mobile Manipulators,2006,Springer Tracts in Advanced Robotics,10.1007/11552246_20,https://doi.org/10.1007/11552246_20,"Padois, V.; Fourquet, J-Y.; Chiron, P.; Renaud, M.",
10.1016/j.rc,crossref,contact sequence learning robotics,On setup level tool sequence selection for 2.5-D pocket machining,2006,Robotics and Computer-Integrated Manufacturing,10.1016/j.rcim.2005.06.001,https://doi.org/10.1016/j.rcim.2005.06.001,"D’Souza, Roshan M.",
10.1007/3-54,crossref,contact sequence learning robotics,A Dynamic Model of Contact Between a Robot and an Environment with Unknown Dynamics,2007,Springer Tracts in Advanced Robotics,10.1007/3-540-36460-9_29,https://doi.org/10.1007/3-540-36460-9_29,"Featherstone, Roy",
10.1007/s100,crossref,contact sequence learning robotics,A functional motif discovery algorithm for invertebrate EST sequence data,2007,Artificial Life and Robotics,10.1007/s10015-006-0415-7,https://doi.org/10.1007/s10015-006-0415-7,"Ohkubo, Makoto; Aranishi, Futoshi",
10.1007/3-54,crossref,contact sequence learning robotics,Contact State Estimation using Multiple Model Estimation and Hidden Markov Models,2007,Springer Tracts in Advanced Robotics,10.1007/3-540-36268-1_47,https://doi.org/10.1007/3-540-36268-1_47,"Debus, Thomas; Dupont, Pierre; Howe, Robert",
10.1163/1568,crossref,contact sequence learning robotics,Reinforcement learning of a continuous motor sequence with hidden states,2007,Advanced Robotics,10.1163/156855307781389365,https://doi.org/10.1163/156855307781389365,"Arie, Hiroaki; Ogata, Tetsuya; Tani, Jun; Sugano, Shigeki",
10.1016/j.rc,crossref,contact sequence learning robotics,A hierarchical approach on assembly sequence planning and optimal sequences analyzing,2009,Robotics and Computer-Integrated Manufacturing,10.1016/j.rcim.2007.11.006,https://doi.org/10.1016/j.rcim.2007.11.006,"Su, Qiang",
10.1109/robo,crossref,contact sequence learning robotics,The latency model for viscoelastic contact interface in robotics: Theory and experiments,2009,2009 IEEE International Conference on Robotics and Automation,10.1109/robot.2009.5152679,https://doi.org/10.1109/robot.2009.5152679,"Tsai, Chia-Hung Dylan; Kao, Imin",
10.1016/j.ro,crossref,contact sequence learning robotics,Action selection and task sequence learning for hybrid dynamical cognitive agents,2010,Robotics and Autonomous Systems,10.1016/j.robot.2010.05.006,https://doi.org/10.1016/j.robot.2010.05.006,"Aaron, Eric; Admoni, Henny",
10.1016/j.rc,crossref,contact sequence learning robotics,Chaotic particle swarm optimization for assembly sequence planning,2010,Robotics and Computer-Integrated Manufacturing,10.1016/j.rcim.2009.05.003,https://doi.org/10.1016/j.rcim.2009.05.003,"Wang, Y.; Liu, J.H.",
10.1109/robo,crossref,contact sequence learning robotics,Finding lost wrenches: Using continuum robots for contact detection and estimation of contact location,2010,2010 IEEE International Conference on Robotics and Automation,10.1109/robot.2010.5509569,https://doi.org/10.1109/robot.2010.5509569,"Bajo, Andrea; Simaan, Nabil",
10.1177/0278,crossref,contact sequence learning robotics,Identification of Contact Parameters from Stiff Multi-point Contact Robotic Operations,2010,The International Journal of Robotics Research,10.1177/0278364909336805,https://doi.org/10.1177/0278364909336805,"Verscheure, Diederik; Sharf, Inna; Bruyninckx, Herman; Swevers, Jan; De Schutter, Joris","Computer simulations play an important role in the design and validation of constrained robotic operations. The fidelity of these simulations, however, depends on the specification of contact dynamics parameters, which often need to be determined experimentally. In this paper we investigate the identification of contact parameters from complex stiff multi-point contact scenarios encountered in typical robotic operations using a recently developed least-squares-based method. This method is extended to deal with geometric uncertainties by employing a non-linear separable least-squares formulation. The latter is solved using a variable projection method, and allows simultaneous identification of contact parameters and geometric uncertainties. The conditions for observability of geometric unce"
10.1016/j.cl,crossref,contact sequence learning robotics,Keratoconus associated with the Pierre Robin Sequence,2010,Contact Lens and Anterior Eye,10.1016/j.clae.2009.09.003,https://doi.org/10.1016/j.clae.2009.09.003,"Lin, Ming-Lee; Jhanji, Vishal; Vajpayee, Rasik B.",
10.1109/robo,crossref,contact sequence learning robotics,Learning to grasp objects with multiple contact points,2010,2010 IEEE International Conference on Robotics and Automation,10.1109/robot.2010.5509508,https://doi.org/10.1109/robot.2010.5509508,"Le, Quoc V; Kamm, David; Kara, Arda F; Ng, Andrew Y",
10.1016/j.ro,crossref,contact sequence learning robotics,A GJK-based approach to contact force feasibility and distribution for multi-contact robots,2011,Robotics and Autonomous Systems,10.1016/j.robot.2010.12.006,https://doi.org/10.1016/j.robot.2010.12.006,"Zheng, Y.; Chew, C.-M.; Adiwahono, A.H.",
10.1109/mmar,crossref,contact sequence learning robotics,An optimal sequence of tasks for autonomous learning systems,2011,2011 16th International Conference on Methods &amp; Models in Automation &amp; Robotics,10.1109/mmar.2011.6031308,https://doi.org/10.1109/mmar.2011.6031308,"Rudek, Radoslaw; Rudek, Agnieszka; Skworcow, Piotr",
10.1007/s123,crossref,contact sequence learning robotics,Building Eye Contact in E-Learning Through Head-Eye Coordination,2011,International Journal of Social Robotics,10.1007/s12369-010-0070-y,https://doi.org/10.1007/s12369-010-0070-y,"Halawani, Alaa; Li, Haibo; Anani, Adi",
10.1109/icra,crossref,contact sequence learning robotics,Influence of contact types and uncertainties in the computation of Independent Contact Regions,2011,2011 IEEE International Conference on Robotics and Automation,10.1109/icra.2011.5980334,https://doi.org/10.1109/icra.2011.5980334,"Roa, Maximo A.; Suarez, Raul",
10.1007/spri,crossref,contact sequence learning robotics,Impaired Multidimensional Motor Sequence Learning,2012,SpringerReference,10.1007/springerreference_302007,https://doi.org/10.1007/springerreference_302007,,
10.1007/spri,crossref,contact sequence learning robotics,Implicit Sequence Learning,2012,SpringerReference,10.1007/springerreference_302377,https://doi.org/10.1007/springerreference_302377,,
10.1109/icra,crossref,contact sequence learning robotics,Independent Contact Regions based on a patch contact model,2012,2012 IEEE International Conference on Robotics and Automation,10.1109/icra.2012.6225325,https://doi.org/10.1109/icra.2012.6225325,"Charusta, Krzysztof; Krug, Robert; Dimitrov, Dimitar; Iliev, Boyko",
10.2478/s132,crossref,contact sequence learning robotics,Learning a DFT-based sequence with reinforcement learning: a NAO implementation,2012,"Paladyn, Journal of Behavioral Robotics",10.2478/s13230-013-0109-5,https://doi.org/10.2478/s13230-013-0109-5,"Durán, Boris; Lee, Gauss; Lowe, Robert","Abstract The implementation of sequence learning in robotic platforms offers several challenges. Deciding when to stop one action and continue to the next requires a balance between stability of sensory information and, of course, the knowledge about what action is required next. The work presented here proposes a starting point for the successful execution and learning of dynamic sequences. Making use of the NAO humanoid platform we propose a mathematical model based on dynamic field theory and reinforcement learning methods for obtaining and performing a sequence of elementary motor behaviors. Results from the comparison of two reinforcement learning methods applied to sequence generation, for both simulation and implementation, are provided."
10.1007/s100,crossref,contact sequence learning robotics,Non-contact physical activity estimation method based on electrostatic induction technique,2012,Artificial Life and Robotics,10.1007/s10015-012-0030-8,https://doi.org/10.1007/s10015-012-0030-8,"Kurita, Koichi",
10.1016/j.ro,crossref,contact sequence learning robotics,Recalibration of time to contact,2012,Robotics and Autonomous Systems,10.1016/j.robot.2011.06.011,https://doi.org/10.1016/j.robot.2011.06.011,"Kawase, Toshihiro; Ohishi, Keiichi; Yoneyama, Kazuya; Kambara, Hiroyuki; Koike, Yasuharu",
10.1115/detc,crossref,contact sequence learning robotics,Relative Contact Dynamics and its Application on Manipulator’s Contact Stability Problem,2012,"Volume 4: 36th Mechanisms and Robotics Conference, Parts A and B",10.1115/detc2012-71032,https://doi.org/10.1115/detc2012-71032,"Liang, Jianxun; Ma, Ou; Liu, Caishan","Contact stability is a major concern when the tip of a manipulator contacts with a stiff surface in a manipulation task. Better understanding of the contact dynamics problem can help deal with the contact stability problem. This paper studies the frictional contact problem of manipulators from the perspective of the recent development of relative contact dynamics. With the presented approach, the contact stability of a robot’s tip can be characterized by two critical parameters A and B. It is shown that parameter A depends on the robot’s configuration and friction coefficient only and parameter B is a function of the configuration, speed and the control forces/torques. By examination of the signs of the two parameters, one can determine whether the tip contact is in a stable contact, unsta"
10.15607/rss,crossref,contact sequence learning robotics,Fast Interpolation and Time-Optimization on Implicit Contact Submanifolds,2013,Robotics: Science and Systems IX,10.15607/rss.2013.ix.022,https://doi.org/10.15607/rss.2013.ix.022,"Hauser, Kris",
10.1016/j.ro,crossref,contact sequence learning robotics,Planning contact points for humanoid robots,2013,Robotics and Autonomous Systems,10.1016/j.robot.2013.01.008,https://doi.org/10.1016/j.robot.2013.01.008,"Escande, Adrien; Kheddar, Abderrahmane; Miossec, Sylvain",
10.1016/j.ro,crossref,contact sequence learning robotics,Two-step gradient-based reinforcement learning for underwater robotics behavior learning,2013,Robotics and Autonomous Systems,10.1016/j.robot.2012.11.009,https://doi.org/10.1016/j.robot.2012.11.009,"El-Fakdi, Andres; Carreras, Marc",
10.1080/0169,crossref,contact sequence learning robotics,Dynamic modeling of an anthropomimetic robot in contact tasks,2014,Advanced Robotics,10.1080/01691864.2014.896748,https://doi.org/10.1080/01691864.2014.896748,"Jovanovic, Kosta; Potkonjak, Veljko; Holland, Owen",
10.1177/0278,crossref,contact sequence learning robotics,Fast interpolation and time-optimization with contact,2014,The International Journal of Robotics Research,10.1177/0278364914527855,https://doi.org/10.1177/0278364914527855,"Hauser, Kris","This paper presents a method for generating dynamically feasible, keyframe-interpolating motions for robots undergoing contact, such as in legged locomotion and manipulation. The first stage generates a twice-differentiable interpolating path that obeys kinematic contact constraints up to a user-specified tolerance. The second stage optimizes speeds along the path to minimize time while satisfying dynamic constraints. The method supports velocity, acceleration, and torque constraints, and polyhedral contact friction constraints at an arbitrary number of contact points. The method is numerically stable, and empirical running time is weakly linear in the number of degrees of freedom and polynomial in the time-domain grid resolution. Experiments demonstrate that full-body motions for robots w"
10.1109/bior,crossref,contact sequence learning robotics,Gait event detection through neuromorphic spike sequence learning,2014,5th IEEE RAS/EMBS International Conference on Biomedical Robotics and Biomechatronics,10.1109/biorob.2014.6913895,https://doi.org/10.1109/biorob.2014.6913895,"Lee, Wang Wei; Yu, Haoyong; Thakor, Nitish V.",
10.1109/devl,crossref,contact sequence learning robotics,Learning a musical sequence by observation: A robotics implementation of a dynamic neural field model,2014,4th International Conference on Development and Learning and on Epigenetic Robotics,10.1109/devlrn.2014.6982973,https://doi.org/10.1109/devlrn.2014.6982973,"Ferreira, Flora; Erlhagen, Wolfram; Sousa, Emanuel; Louro, Luis; Bicho, Estela",
10.1109/icra,crossref,contact sequence learning robotics,Learning dexterous grasps that generalise to novel objects by combining hand and contact models,2014,2014 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra.2014.6907647,https://doi.org/10.1109/icra.2014.6907647,"Kopicki, Marek; Detry, Renaud; Schmidt, Florian; Borst, Christoph; Stolkin, Rustam; Wyatt, Jeremy L.",
10.5040/9781,crossref,contact sequence learning robotics,Migration and Contact: Community and Individual Experience,2014,"Intercultural Contact, Language Learning and Migration",10.5040/9781472542212.0015,https://doi.org/10.5040/9781472542212.0015,,
10.1109/icra,crossref,contact sequence learning robotics,Contact-consistent elastic strips for multi-contact locomotion planning of humanoid robots,2015,2015 IEEE International Conference on Robotics and Automation (ICRA),10.1109/icra.2015.7140082,https://doi.org/10.1109/icra.2015.7140082,"Shu-Yun Chung; Khatib, Oussama",
0b9f82bd938a,arxiv,contact sequence learning robotics,Planning for robotic exploration based on forward simulation,2015,arXiv,,,Mikko Lauri; Risto Ritala,"We address the problem of controlling a mobile robot to explore a partially known environment. The robot's objective is the maximization of the amount of information collected about the environment. We formulate the problem as a partially observable Markov decision process (POMDP) with an information-theoretic objective function, and solve it applying forward simulation algorithms with an open-loop approximation. We present a new sample-based approximation for mutual information useful in mobile robotics. The approximation can be seamlessly integrated with forward simulation planning algorithms. We investigate the usefulness of POMDP based planning for exploration, and to alleviate some of its weaknesses propose a combination with frontier based exploration. Experimental results in simulat"
10.15607/rss,crossref,contact sequence learning robotics,Robust Trajectory Optimization Under Frictional Contact with Iterative Learning,2015,Robotics: Science and Systems XI,10.15607/rss.2015.xi.014,https://doi.org/10.15607/rss.2015.xi.014,"Luo, Jingru; Hauser, Kris",
10.1109/mmar,crossref,contact sequence learning robotics,Sequence Q-learning: A memory-based method towards solving POMDP,2015,2015 20th International Conference on Methods and Models in Automation and Robotics (MMAR),10.1109/mmar.2015.7283925,https://doi.org/10.1109/mmar.2015.7283925,"Zuters, Janis",
07da223f7224,arxiv,contact sequence learning robotics,Symbol Emergence in Robotics: A Survey,2015,arXiv,,,Tadahiro Taniguchi; Takayuki Nagai; Tomoaki Nakamura; Naoto Iwahashi; Tetsuya Ogata; Hideki Asoh,"Humans can learn the use of language through physical interaction with their environment and semiotic communication with other people. It is very important to obtain a computational understanding of how humans can form a symbol system and obtain semiotic skills through their autonomous mental development. Recently, many studies have been conducted on the construction of robotic systems and machine-learning methods that can learn the use of language through embodied multimodal interaction with their environment and other systems. Understanding human social interactions and developing a robot that can smoothly communicate with human users in the long term, requires an understanding of the dynamics of symbol systems and is crucially important. The embodied cognition and social interaction of "
10.1016/j.ro,crossref,contact sequence learning robotics,Visual contact with catadioptric cameras,2015,Robotics and Autonomous Systems,10.1016/j.robot.2014.09.036,https://doi.org/10.1016/j.robot.2014.09.036,"Benamar, F.; Elfkihi, S.; Demonceaux, C.; Mouaddib, E.; Aboutajdine, D.",
10.1007/978-,crossref,contact sequence learning robotics,A Framework for Real-Time Multi-Contact Multi-Body Dynamic Simulation,2016,Springer Tracts in Advanced Robotics,10.1007/978-3-319-28872-7_16,https://doi.org/10.1007/978-3-319-28872-7_16,"Conti, François; Khatib, Oussama",
10.1007/s100,crossref,contact sequence learning robotics,A construction of five-state real-time Fibonacci sequence generator,2016,Artificial Life and Robotics,10.1007/s10015-016-0309-2,https://doi.org/10.1007/s10015-016-0309-2,"Kamikawa, Naoki; Umeo, Hiroshi",
10.1177/0278,crossref,contact sequence learning robotics,Adaptive human-inspired compliant contact primitives to perform surface–surface contact under uncertainty,2016,The International Journal of Robotics Research,10.1177/0278364916648389,https://doi.org/10.1177/0278364916648389,"Khansari, Mohammad; Klingbeil, Ellen; Khatib, Oussama","This paper focuses on devising a control policy that is inspired by human strategy to enable robots to perform surface–surface contact between a hand-held object (e.g. a box) and the environment (e.g. table). We assume the object’s shape is partially known and consider uncertainties in both the environment and the object grasp. Our analysis on ten untrained subjects indicates that during this task: (1) the subjects start decreasing the angular velocity before the complete alignment (in contrast to existing approaches), and (2) they do not control the contact force to remain at a fixed value. Our study is also consistent with the hypothesis that the subjects determine an over-estimate of the relative angle between the object in hand and the environment. Based on these observations we propos"
