id,source,query,title,year,venue,doi,url,authors,abstract
fbe7f1add766,arxiv,contact-rich robot learning tactile topology,TacForeSight: Force-Guided Tactile World Model for Contact-Rich Manipulation,2026,arXiv,,,Yujie Zang; Yuhang Zheng; Xian Nie; Yupeng Zheng; Shuai Tian; Songen Gu; Chen Gao; Zining Wang,"Contact-rich manipulation requires robots to continuously perceive and regulate evolving physical interactions under dynamic contact transitions or complex surface geometries. Recent imitation learning methods improve contact-aware control by incorporating tactile or force feedback, but they rarely model the asymmetric spatiotemporal roles of global force and local tactile sensing. To address this, we propose TacForeSight, a lightweight force-conditioned tactile foresight framework for real-time manipulation. The core component is TacForceWM, a tactile world model that predicts short-horizon tactile latent dynamics from dual-finger tactile observations conditioned on high-frequency wrist force and torque signals. Another key component, the Predictive Tactile-Conditioned Policy, leverages t"
2bebfb963a3b,arxiv,robot contact manipulation topology,A Contact-Safe Reinforcement Learning Framework for Contact-Rich Robot Manipulation,2022,arXiv,,,Xiang Zhu; Shucheng Kang; Jianyu Chen,"Reinforcement learning shows great potential to solve complex contact-rich robot manipulation tasks. However, the safety of using RL in the real world is a crucial problem, since unexpected dangerous collisions might happen when the RL policy is imperfect during training or in unseen scenarios. In this paper, we propose a contact-safe reinforcement learning framework for contact-rich robot manipulation, which maintains safety in both the task space and joint space. When the RL policy causes unexpected collisions between the robot arm and the environment, our framework is able to immediately detect the collision and ensure the contact force to be small. Furthermore, the end-effector is enforced to perform contact-rich tasks compliantly, while keeping robust to external disturbances. We trai"
674445a604e7,arxiv,contact-rich robot learning tactile topology,Shear-based Grasp Control for Multi-fingered Underactuated Tactile Robotic Hands,2025,arXiv,,,Christopher J. Ford; Haoran Li; Manuel G. Catalano; Matteo Bianchi; Efi Psomopoulou; Nathan F. Lepora,"This paper presents a shear-based control scheme for grasping and manipulating delicate objects with a Pisa/IIT anthropomorphic SoftHand equipped with soft biomimetic tactile sensors on all five fingertips. These `microTac' tactile sensors are miniature versions of the TacTip vision-based tactile sensor, and can extract precise contact geometry and force information at each fingertip for use as feedback into a controller to modulate the grasp while a held object is manipulated. Using a parallel processing pipeline, we asynchronously capture tactile images and predict contact pose and force from multiple tactile sensors. Consistent pose and force models across all sensors are developed using supervised deep learning with transfer learning techniques. We then develop a grasp control framewor"
ed455138da36,arxiv,sim-to-real contact-rich policy learning,FoAR: Force-Aware Reactive Policy for Contact-Rich Robotic Manipulation,2024,arXiv,,,Zihao He; Hongjie Fang; Jingjing Chen; Hao-Shu Fang; Cewu Lu,"Contact-rich tasks present significant challenges for robotic manipulation policies due to the complex dynamics of contact and the need for precise control. Vision-based policies often struggle with the skill required for such tasks, as they typically lack critical contact feedback modalities like force/torque information. To address this issue, we propose FoAR, a force-aware reactive policy that combines high-frequency force/torque sensing with visual inputs to enhance the performance in contact-rich manipulation. Built upon the RISE policy, FoAR incorporates a multimodal feature fusion mechanism guided by a future contact predictor, enabling dynamic adjustment of force/torque data usage between non-contact and contact phases. Its reactive control strategy also allows FoAR to accomplish c"
3d0b57b4b3b0,arxiv,in-hand manipulation contact representation,Learning Force Control for Legged Manipulation,2024,arXiv,,,Tifanny Portela; Gabriel B. Margolis; Yandong Ji; Pulkit Agrawal,"Controlling contact forces during interactions is critical for locomotion and manipulation tasks. While sim-to-real reinforcement learning (RL) has succeeded in many contact-rich problems, current RL methods achieve forceful interactions implicitly without explicitly regulating forces. We propose a method for training RL policies for direct force control without requiring access to force sensing. We showcase our method on a whole-body control platform of a quadruped robot with an arm. Such force control enables us to perform gravity compensation and impedance control, unlocking compliant whole-body manipulation. The learned whole-body controller with variable compliance makes it intuitive for humans to teleoperate the robot by only commanding the manipulator, and the robot's body adjusts a"
a13ef4953377,arxiv,contact-rich robot learning tactile topology,TORL-VLA: Tactile Guided Online Reinforcement Learning for Contact-Rich Manipulation,2026,arXiv,,,Huaihang Zheng; Yi Yang; Kai Ma; Shenglin Xu; Tian Xie; Guozheng Li; Xiangyu Wang; Yiren Ma,"Vision-Language-Action (VLA) models have become a powerful framework for robotic manipulation, and recent studies have introduced tactile or force feedback into VLAs to address contact-rich tasks. However, these models are typically deployed as offline policies. When contact conditions shift from the training distribution, the policy cannot perform online adaptation, leading to problems such as inappropriate contact forces and inefficient retries. Therefore, we propose TORL-VLA, a tactile-guided online reinforcement learning framework that couples tactile feedback with policy refinement for contact-rich manipulation. Our method introduces a tactile-derived wrench-aware VLA to predict reference actions and future wrench sequences, while a lightweight online RL module is used to refine the r"
9befda7e235b,arxiv,robot grasp contact map learning,Force-Aware 3D Contact Modeling for Stable Grasp Generation,2025,arXiv,,,Zhuo Chen; Zhongqun Zhang; Yihua Cheng; Ales Leonardis; Hyung Jin Chang,"Contact-based grasp generation plays a crucial role in various applications. Recent methods typically focus on the geometric structure of objects, producing grasps with diverse hand poses and plausible contact points. However, these approaches often overlook the physical attributes of the grasp, specifically the contact force, leading to reduced stability of the grasp. In this paper, we focus on stable grasp generation using explicit contact force predictions. First, we define a force-aware contact representation by transforming the normal force value into discrete levels and encoding it using a one-hot vector. Next, we introduce force-aware stability constraints. We define the stability problem as an acceleration minimization task and explicitly relate stability with contact geometry by f"
a4947e4d3eda,arxiv,robot grasp contact map learning,AO-Grasp: Articulated Object Grasp Generation,2023,arXiv,,,Carlota Parés Morlans; Claire Chen; Yijia Weng; Michelle Yi; Yuying Huang; Nick Heppert; Linqi Zhou; Leonidas Guibas,"We introduce AO-Grasp, a grasp proposal method that generates 6 DoF grasps that enable robots to interact with articulated objects, such as opening and closing cabinets and appliances. AO-Grasp consists of two main contributions: the AO-Grasp Model and the AO-Grasp Dataset. Given a segmented partial point cloud of a single articulated object, the AO-Grasp Model predicts the best grasp points on the object with an Actionable Grasp Point Predictor. Then, it finds corresponding grasp orientations for each of these points, resulting in stable and actionable grasp proposals. We train the AO-Grasp Model on our new AO-Grasp Dataset, which contains 78K actionable parallel-jaw grasps on synthetic articulated objects. In simulation, AO-Grasp achieves a 45.0 % grasp success rate, whereas the highest "
9381d6c7c9b2,arxiv,manipulation contact planning topology,Simultaneous Contact Selection and Planning for Contact-Rich Manipulation with Cascaded Optimization,2026,arXiv,,,Zhe Zhang; Xingrong Diao; Haoxiang Liang; Han Yang; Bi-Ke Zhu; Dandan Zhang; Jiankun Wang,"We propose an optimization-based framework for robust contact-rich manipulation. Recent contact-implicit methods enable online hybrid planning across contact modes, allowing closed-loop manipulation for a given target state and contact location sequence of the robot and object. However, most existing approaches lack the ability to autonomously reason and generate diverse contact location sequences and manipulation trajectories, i.e., active contact location selection, which limits their applicability to relatively simple tasks. Active contact location selection is challenging due to complementarity in contact dynamics and the sparse gradients, making the design of a unified framework for contact selection and planning difficult. To address these challenges, we introduce Simultaneous Contac"
10.1115/etce,crossref,robot control contact invariance,Force Control of a Robot Arm During Contact Task,2002,"Engineering Technology Conference on Energy, Parts A and B",10.1115/etce2002/struc-29025,https://doi.org/10.1115/etce2002/struc-29025,"Yetik, A.; Karadag, V.","There are extremely important applications to investigate the control of contact between the end-effectors and the object. During controlling an object, static or in motion, the robot arm should not be damaged. Forces are important in such conditions. The forces between the end-effectors and the object have to be controlled. The motion of the robot arm changes forces. Thats why, to control forces, a force kontrol algorithm must be developed. Previous conventional force control algorithms could not control the robot effectively by only considering the variation of working environment. In this study, a control algorithm strategy to achieve the desired interactions forces between the robot end-effector and the environment during contact tasks, has been developed. The surface of the object and"
